iter	RMSE
0	0.1418406972
1	0.1416751458
2	0.1415632446
3	0.1414204435
4	0.1413086875
5	0.1412097763
6	0.1410694225
7	0.14097517
8	0.1408354027
9	0.1407444146
10	0.1406812188
11	0.1406213828
12	0.1405125812
13	0.1404087154
14	0.1403296851
15	0.1402560486
16	0.1401756644
17	0.1400866997
18	0.1399952253
19	0.1399060728
20	0.1398540828
21	0.1397997076
22	0.1397566242
23	0.1396982442
24	0.1396067267
25	0.1395445728
26	0.1394524202
27	0.1393657505
28	0.1393018272
29	0.1392054301
30	0.1391570345
31	0.1390736803
32	0.1390367363
33	0.1389649946
34	0.1389089408
35	0.1388484618
36	0.1387746137
37	0.1387179463
38	0.1386368398
39	0.1385614153
40	0.1384947638
41	0.1384472893
42	0.1383807115
43	0.1383264704
44	0.1382560865
45	0.1381734947
46	0.1381176254
47	0.1380475462
48	0.1380121149
49	0.1379664962
50	0.13790739
51	0.1378196661
52	0.1377479918
53	0.1376948825
54	0.1376329879
55	0.1376078356
56	0.1375528724
57	0.1374808952
58	0.1374374367
59	0.1373850231
60	0.1373320883
61	0.137285004
62	0.1372487533
63	0.1372117658
64	0.1371669847
65	0.1371063254
66	0.1370504673
67	0.1370057514
68	0.1369784128
69	0.1369468591
70	0.1369029635
71	0.1368794216
72	0.1368338483
73	0.1367871556
74	0.1367408633
75	0.1366851448
76	0.1366629134
77	0.1366116177
78	0.1365471009
79	0.1365214692
80	0.1364549253
81	0.1364042417
82	0.1363617886
83	0.1362997523
84	0.1362726684
85	0.1362352706
86	0.1361949214
87	0.1361372982
88	0.1360918995
89	0.1360654027
90	0.136022193
91	0.1359738915
92	0.1359223975
93	0.1358833281
94	0.1358232821
95	0.135796411
96	0.1357443358
97	0.1356703764
98	0.1356052763
99	0.135566791
100	0.135538002
101	0.1355101497
102	0.1354580202
103	0.1354116676
104	0.1353698469
105	0.1353063511
106	0.1352543551
107	0.1351975079
108	0.1351637649
109	0.1351065204
110	0.1350790423
111	0.1350278989
112	0.1349972661
113	0.134954913
114	0.1349234253
115	0.1348894913
116	0.1348657446
117	0.1348498192
118	0.1348273936
119	0.1347984748
120	0.13476458
121	0.1347277714
122	0.1346937222
123	0.1346473974
124	0.1345800977
125	0.1345509329
126	0.1345114041
127	0.1344780457
128	0.1344126572
129	0.134377061
130	0.1343135009
131	0.1342629917
132	0.1342400318
133	0.1342032563
134	0.1341582001
135	0.1341098656
136	0.1340764502
137	0.1340306721
138	0.1339890478
139	0.1339375927
140	0.1339165837
141	0.1338462336
142	0.1338113915
143	0.1337679276
144	0.1337249598
145	0.1336932591
146	0.1336492797
147	0.1336235126
148	0.1335894053
149	0.13353593
150	0.1335076801
151	0.1334798099
152	0.133409457
153	0.1333668554
154	0.13329832
155	0.1332553912
156	0.1332168235
157	0.1331789594
158	0.1331623485
159	0.1331266175
160	0.1330725579
161	0.1330318336
162	0.1329883074
163	0.1329372787
164	0.1328812088
165	0.1328326484
166	0.1327782302
167	0.1327477223
168	0.1327326344
169	0.1327063631
170	0.1326563763
171	0.1326336443
172	0.1325851774
173	0.132556442
174	0.1325177108
175	0.13247986
176	0.1324644762
177	0.1324118966
178	0.1323325509
179	0.132283557
180	0.1322363314
181	0.1322179938
182	0.1321944838
183	0.1321409358
184	0.1321170555
185	0.13208953
186	0.1320509871
187	0.1320172213
188	0.1319929442
189	0.1319624679
190	0.1319203212
191	0.1318852063
192	0.1318369099
193	0.1317926731
194	0.1317570628
195	0.1317134057
196	0.1316717725
197	0.1316442128
