iter	Passed	Remaining
0	32	32241
1	36	18179
2	41	13692
3	46	11455
4	51	10242
5	57	9453
6	62	8812
7	66	8228
8	70	7713
9	74	7411
10	79	7189
11	84	6961
12	88	6738
13	93	6572
14	98	6495
15	104	6402
16	107	6232
17	111	6099
18	116	6025
19	121	5965
20	126	5881
21	129	5777
22	134	5722
23	140	5702
24	145	5675
25	149	5582
26	153	5534
27	158	5502
28	163	5465
29	166	5393
30	171	5365
31	176	5332
32	180	5278
33	183	5224
34	188	5192
35	192	5146
36	195	5096
37	200	5088
38	205	5059
39	208	5002
40	213	4989
41	217	4970
42	221	4928
43	225	4889
44	229	4866
45	233	4839
46	236	4797
47	240	4775
48	244	4736
49	247	4710
50	252	4695
51	255	4656
52	259	4634
53	264	4628
54	267	4593
55	271	4571
56	275	4561
57	279	4546
58	283	4519
59	287	4502
60	290	4468
61	293	4446
62	296	4412
63	299	4387
64	303	4363
65	306	4335
66	310	4323
67	313	4299
68	316	4276
69	320	4254
70	322	4225
71	326	4212
72	329	4185
73	333	4169
74	335	4141
75	339	4126
76	342	4104
77	345	4084
78	348	4067
79	351	4043
80	355	4031
81	358	4011
82	362	3999
83	365	3981
84	369	3972
85	372	3961
86	375	3940
87	379	3931
88	381	3910
89	385	3897
90	388	3876
91	391	3865
92	394	3847
93	398	3836
94	402	3830
95	404	3810
96	408	3802
97	410	3782
98	414	3769
99	416	3751
100	420	3740
101	422	3723
102	426	3712
103	429	3701
104	432	3686
105	435	3676
106	438	3661
107	442	3653
108	445	3638
109	448	3630
110	451	3614
111	454	3607
112	457	3591
113	461	3586
114	465	3579
115	468	3571
116	472	3567
117	476	3560
118	480	3554
119	484	3551
120	487	3541
121	495	3566
122	498	3551
123	501	3545
124	504	3531
125	507	3523
126	510	3510
127	514	3506
128	518	3500
129	521	3489
130	525	3487
131	529	3482
132	532	3473
133	536	3468
134	539	3457
135	543	3450
136	589	3714
137	593	3707
138	597	3700
139	601	3697
140	606	3696
141	612	3700
142	620	3718
143	626	3724
144	630	3715
145	632	3701
146	636	3692
147	638	3678
148	642	3672
149	645	3658
150	649	3649
151	651	3635
152	655	3628
153	658	3616
154	661	3608
155	665	3601
156	668	3588
157	671	3581
158	674	3567
159	678	3559
160	681	3549
161	684	3541
162	687	3532
163	690	3519
164	694	3513
165	696	3501
166	700	3494
167	703	3481
168	707	3477
169	710	3468
170	713	3460
171	717	3454
172	720	3444
173	725	3442
174	730	3443
175	734	3439
176	738	3432
177	743	3432
178	747	3430
179	752	3426
180	755	3420
181	760	3419
182	765	3418
183	769	3412
184	773	3407
185	778	3405
186	783	3404
187	786	3398
188	790	3393
189	795	3391
190	800	3390
191	804	3383
192	808	3380
193	813	3381
194	819	3383
195	825	3384
196	830	3386
197	837	3391
198	842	3393
199	847	3389
200	851	3385
201	855	3381
202	859	3376
203	863	3369
204	868	3367
205	872	3364
206	875	3355
207	879	3349
208	883	3343
209	886	3336
210	890	3329
211	893	3321
212	897	3314
213	900	3305
214	903	3299
215	907	3292
216	910	3284
217	913	3278
218	916	3269
219	920	3263
220	923	3256
221	927	3249
222	930	3243
223	933	3235
224	937	3227
225	940	3219
226	943	3213
227	946	3205
228	950	3198
229	952	3189
230	955	3182
231	958	3172
232	961	3166
233	964	3156
234	967	3149
235	970	3140
236	973	3133
237	975	3124
238	979	3117
239	981	3108
240	984	3101
241	987	3092
242	990	3085
243	993	3077
244	996	3071
245	999	3064
246	1003	3057
247	1005	3049
248	1008	3042
249	1011	3035
250	1015	3028
251	1017	3021
252	1020	3013
253	1025	3011
254	1028	3004
255	1031	2998
256	1034	2990
257	1037	2984
258	1040	2976
259	1043	2970
260	1046	2962
261	1049	2955
262	1051	2947
263	1054	2940
264	1057	2932
265	1060	2926
266	1063	2918
267	1066	2912
268	1068	2904
269	1073	2903
270	1076	2896
271	1079	2890
272	1082	2883
273	1085	2876
274	1089	2871
275	1092	2865
276	1095	2859
277	1098	2851
278	1101	2846
279	1103	2838
280	1106	2832
281	1109	2824
282	1112	2818
283	1115	2811
284	1118	2805
285	1121	2798
286	1124	2793
287	1127	2786
288	1130	2780
289	1132	2773
290	1136	2767
291	1138	2760
292	1141	2755
293	1144	2747
294	1147	2742
295	1149	2734
296	1153	2729
297	1156	2723
298	1159	2718
299	1162	2711
300	1165	2706
301	1167	2699
302	1171	2693
303	1173	2686
304	1176	2681
305	1179	2675
306	1183	2671
307	1185	2664
308	1189	2659
309	1191	2652
310	1194	2646
311	1197	2640
312	1200	2634
313	1203	2629
314	1206	2622
315	1209	2617
316	1211	2611
317	1214	2604
318	1217	2599
319	1220	2594
320	1223	2587
321	1226	2582
322	1229	2576
323	1232	2570
324	1234	2564
325	1237	2559
326	1240	2553
327	1243	2548
328	1246	2541
329	1248	2535
330	1251	2530
331	1254	2524
332	1258	2520
333	1261	2515
334	1264	2509
335	1266	2503
336	1269	2498
337	1272	2492
338	1275	2487
339	1278	2481
340	1281	2476
341	1283	2470
342	1286	2464
343	1289	2459
344	1292	2453
345	1295	2447
346	1298	2442
347	1301	2437
348	1303	2432
349	1307	2427
350	1310	2423
351	1314	2419
352	1317	2414
353	1320	2409
354	1323	2403
355	1326	2399
356	1329	2393
357	1332	2389
358	1334	2383
359	1338	2378
360	1340	2373
361	1343	2368
362	1347	2363
363	1350	2359
364	1353	2354
365	1356	2349
366	1359	2344
367	1362	2339
368	1364	2334
369	1367	2328
370	1370	2323
371	1373	2318
372	1375	2312
373	1378	2307
374	1381	2302
375	1384	2297
376	1386	2291
377	1390	2287
378	1392	2281
379	1395	2276
380	1398	2272
381	1402	2268
382	1406	2266
383	1410	2262
384	1414	2258
385	1418	2255
386	1421	2251
387	1425	2248
388	1429	2245
389	1433	2241
390	1437	2238
391	1441	2236
392	1445	2232
393	1449	2229
394	1453	2226
395	1457	2222
396	1461	2220
397	1466	2217
398	1470	2214
399	1473	2210
400	1478	2207
401	1481	2204
402	1485	2200
403	1489	2197
404	1494	2196
405	1498	2192
406	1503	2190
407	1507	2187
408	1510	2183
409	1515	2180
410	1519	2178
411	1524	2175
412	1527	2171
413	1531	2168
414	1535	2165
415	1539	2161
416	1543	2158
417	1547	2154
418	1551	2150
419	1554	2147
420	1558	2142
421	1561	2139
422	1565	2135
