index,date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc
0,25/03/2020,Seoul,347,58,259,7.0,194,35,23.0,30,13.0
1,25/03/2020,Busan,112,2,76,11.0,49,16,0.0,34,1.0
2,25/03/2020,Daegu,6456,2,5427,4387.0,321,719,0.0,1027,14.0
3,25/03/2020,Incheon,42,6,34,2.0,27,3,2.0,2,1.0
4,25/03/2020,Gwangju,19,4,14,9.0,0,2,3.0,1,0.0
5,25/03/2020,Daejeon,24,0,14,2.0,9,3,0.0,10,0.0
6,25/03/2020,Ulsan,37,6,24,16.0,1,4,3.0,7,1.0
7,25/03/2020,Sejong,44,0,41,1.0,37,3,0.0,3,2.0
8,25/03/2020,Gyeonggi,387,36,298,30.0,204,54,10.0,53,21.0
9,25/03/2020,Gangwon,31,2,23,18.0,5,0,0.0,6,1.0
10,25/03/2020,Chung-buk,38,0,30,12.0,11,7,0.0,8,0.0
11,25/03/2020,Chung- nam,123,4,112,0.0,112,0,0.0,7,3.0
12,25/03/2020,Jeon-buk,10,3,1,1.0,0,0,0.0,6,0.0
13,25/03/2020,Jeon-nam,8,0,4,1.0,0,2,1.0,4,2.0
14,25/03/2020,Gyeong- buk,1262,0,1103,551.0,379,172,1.0,159,5.0
15,25/03/2020,Gyeong- nam,90,2,72,32.0,35,5,0.0,16,0.0
16,25/03/2020,Jeju,6,1,0,0.0,0,0,0.0,5,2.0
17,25/03/2020,Airport,101,101,0,0.0,0,0,0.0,0,34.0
18,25/03/2020,Total,9137,227,7532,5080.0,1384,1025,43.0,1378,100.0
19,26/03/2020,Seoul,360,68,266,7.0,197,37,25.0,26,13.0
20,26/03/2020,Busan,112,2,76,11.0,49,16,0.0,34,0.0
21,26/03/2020,Daegu,6482,2,5463,4391.0,347,725,0.0,1017,26.0
22,26/03/2020,Incheon,43,7,34,2.0,27,3,2.0,2,1.0
23,26/03/2020,Gwangju,19,4,14,9.0,0,2,3.0,1,0.0
24,26/03/2020,Daejeon,30,1,18,2.0,10,6,0.0,11,6.0
25,26/03/2020,Ulsan,37,6,24,16.0,1,4,3.0,7,0.0
26,26/03/2020,Sejong,44,0,42,1.0,38,3,0.0,2,0.0
27,26/03/2020,Gyeonggi,401,47,309,29.0,210,57,13.0,45,14.0
28,26/03/2020,Gangwon,31,2,22,17.0,5,0,0.0,7,0.0
29,26/03/2020,Chung-buk,39,0,26,6.0,11,9,0.0,13,1.0
30,26/03/2020,Chung- nam,124,5,112,0.0,112,0,0.0,7,1.0
31,26/03/2020,Jeon-buk,10,3,1,1.0,0,0,0.0,6,0.0
32,26/03/2020,Jeon-nam,8,1,4,1.0,0,2,1.0,3,0.0
33,26/03/2020,Gyeong- buk,1274,1,1115,554.0,388,172,1.0,158,12.0
34,26/03/2020,Gyeong- nam,90,2,72,32.0,35,5,0.0,16,0.0
35,26/03/2020,Jeju,6,2,0,0.0,0,0,0.0,4,0.0
36,26/03/2020,Airport,131,131,0,0.0,0,0,0.0,0,30.0
37,26/03/2020,Total,9241,284,7598,5079.0,1430,1041,48.0,1359,104.0
38,27/03/2020,Seoul,372,74,268,7.0,198,37,26.0,30,12.0
39,27/03/2020,Busan,113,2,76,11.0,49,16,0.0,35,1.0
40,27/03/2020,Daegu,6516,2,5487,4391.0,366,730,0.0,1027,34.0
41,27/03/2020,Incheon,46,8,34,2.0,27,3,2.0,4,3.0
42,27/03/2020,Gwangju,20,4,14,9.0,0,2,3.0,2,1.0
43,27/03/2020,Daejeon,31,2,18,2.0,10,6,0.0,11,1.0
44,27/03/2020,Ulsan,39,7,24,16.0,1,4,3.0,8,2.0
45,27/03/2020,Sejong,44,0,42,1.0,38,3,0.0,2,0.0
46,27/03/2020,Gyeonggi,412,49,315,29.0,210,60,16.0,48,11.0
47,27/03/2020,Gangwon,31,2,22,17.0,5,0,0.0,7,0.0
48,27/03/2020,Chung-buk,41,1,28,6.0,11,11,0.0,12,2.0
49,27/03/2020,Chung- nam,124,5,112,0.0,112,0,0.0,7,0.0
50,27/03/2020,Jeon-buk,10,3,1,1.0,0,0,0.0,6,0.0
51,27/03/2020,Jeon-nam,8,1,4,1.0,0,2,1.0,3,0.0
52,27/03/2020,Gyeong- buk,1283,1,1117,554.0,390,172,1.0,165,9.0
53,27/03/2020,Gyeong- nam,91,2,73,32.0,35,6,0.0,16,1.0
54,27/03/2020,Jeju,7,2,0,,0,0,0.0,5,1.0
55,27/03/2020,Airport,144,144,0,,0,0,0.0,0,13.0
56,27/03/2020,Total,9332,309,7635,5079.0,1452,1052,52.0,1388,91.0
57,28/03/2020,Seoul,390,83,272,7.0,201,34,30.0,35,18.0
58,28/03/2020,Busan,114,4,76,11.0,49,16,0.0,34,1.0
59,28/03/2020,Daegu,6587,2,5562,4400.0,430,732,0.0,1023,71.0
60,28/03/2020,Incheon,51,14,34,2.0,27,3,2.0,3,5.0
61,28/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0
62,28/03/2020,Daejeon,31,3,18,2.0,10,6,0.0,10,0.0
63,28/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0
64,28/03/2020,Sejong,44,0,42,1.0,38,3,0.0,2,0.0
65,28/03/2020,Gyeonggi,433,55,333,29.0,223,64,17.0,45,21.0
66,28/03/2020,Gangwon,32,3,22,17.0,5,0,0.0,7,1.0
67,28/03/2020,Chung-buk,41,2,27,6.0,11,10,0.0,12,0.0
68,28/03/2020,Chung- nam,126,5,113,0.0,112,1,0.0,8,2.0
69,28/03/2020,Jeon-buk,10,3,1,1.0,0,0,0.0,6,0.0
70,28/03/2020,Jeon-nam,8,1,4,1.0,0,2,1.0,3,0.0
71,28/03/2020,Gyeong- buk,1285,1,1120,555.0,390,174,1.0,164,2.0
72,28/03/2020,Gyeong- nam,91,3,72,32.0,35,5,0.0,16,0.0
73,28/03/2020,Jeju,8,3,0,0.0,0,0,0.0,5,1.0
74,28/03/2020,Airport,168,168,0,0.0,0,0,0.0,0,24.0
75,28/03/2020,Total,9478,363,7734,5089.0,1532,1056,57.0,1381,146.0
76,29/03/2020,Seoul,410,92,281,7.0,207,35,32.0,37,20.0
77,29/03/2020,Busan,117,5,76,11.0,49,16,0.0,36,3.0
78,29/03/2020,Daegu,6610,3,5584,4400.0,450,732,2.0,1023,23.0
79,29/03/2020,Incheon,58,15,36,2.0,28,4,2.0,7,7.0
80,29/03/2020,Gwangju,20,5,14,9.0,0,2,3.0,1,0.0
81,29/03/2020,Daejeon,34,4,20,2.0,11,7,0.0,10,3.0
82,29/03/2020,Ulsan,39,8,24,16.0,1,4,3.0,7,0.0
83,29/03/2020,Sejong,46,0,42,1.0,38,3,0.0,4,2.0
84,29/03/2020,Gyeonggi,448,64,335,29.0,228,60,18.0,49,15.0
85,29/03/2020,Gangwon,34,4,22,17.0,5,0,0.0,8,2.0
86,29/03/2020,Chung-buk,41,2,27,6.0,11,10,0.0,12,0.0
87,29/03/2020,Chung- nam,127,7,113,0.0,112,1,0.0,7,1.0
88,29/03/2020,Jeon-buk,12,3,1,1.0,0,0,0.0,8,2.0
